
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
. exemploISP, 23, 3, 40, 0, 0, 0, 0, 2, 2
.	. OSC_C1, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	.	. OSC_C1_OSC_C1_0_OSC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. led_blink, 23, 3, 40, 0, 0, 0, 0, 1, 0
